120	60
5497
1	20	8.2334	1
0	63	27	9
1	27	24	19
2	17	20	6
4	40	39	18
6	15	51	3
7	16	25	16
9	25	41	4
10	80	23	3
12	57	24	14
14	105	5	1
16	105	45	5
19	103	44	6
20	81	29	4
22	96	27	7
23	96	19	4
25	30	21	18
26	80	44	6
28	105	56	4
30	35	28	6
36	11	47	3
37	36	46	4
38	72	32	18
45	27	38	11
49	49	18	17
51	11	29	7
52	73	2	1
53	48	4	2
58	37	31	20
59	20	19	10
62	28	56	2
70	73	3	2
71	11	54	2
73	88	17	14
75	20	25	20
76	41	18	5
77	12	48	9
80	8	28	7
81	109	49	4
83	42	22	12
84	84	43	9
87	83	38	7
89	53	31	2
92	8	23	3
95	89	35	17
97	59	23	5
98	78	24	16
100	89	54	2
101	30	19	1
103	70	38	19
105	47	41	17
106	112	38	7
107	74	17	11
108	98	28	10
109	82	18	11
111	34	13	11
112	29	35	19
114	107	46	6
115	75	41	9
116	49	29	10
117	101	15	10
119	111	34	4
120	27	35	7
121	42	24	7
122	93	42	3
125	74	20	10
126	32	38	5
127	55	45	8
130	103	29	11
131	97	32	7
132	50	21	10
134	91	32	9
135	88	39	12
139	82	46	6
141	69	16	8
142	56	8	1
145	36	21	3
150	94	47	2
151	98	44	3
152	82	16	14
155	66	19	14
157	39	47	7
159	27	8	7
162	55	42	16
165	11	40	4
166	68	12	8
167	74	39	15
169	27	40	19
171	108	24	1
176	4	36	2
178	65	30	15
179	31	29	17
181	76	15	11
182	47	37	4
185	39	17	3
186	97	22	17
188	27	40	20
189	104	11	10
192	88	16	2
193	56	16	15
194	58	42	18
195	106	28	14
196	88	14	14
199	18	45	9
200	76	50	4
201	95	17	17
202	63	28	8
205	5	24	4
206	75	30	17
210	63	40	11
211	51	16	12
215	39	39	19
217	20	38	9
220	62	20	16
221	35	20	10
222	20	39	3
223	74	36	4
224	42	25	12
225	14	51	3
226	95	22	12
227	42	15	12
228	19	40	4
229	73	43	6
231	30	47	9
233	118	1	1
236	84	44	16
237	67	22	17
238	27	30	16
239	68	7	2
240	77	5	4
242	88	17	6
243	8	49	2
245	47	21	16
246	25	37	15
247	71	42	5
248	26	14	14
249	91	15	1
252	55	30	14
253	5	47	4
254	29	28	11
256	45	21	9
257	56	45	10
259	54	24	1
261	101	36	5
262	109	52	7
263	82	47	5
264	106	21	7
267	52	17	13
269	9	31	3
271	62	40	20
272	54	16	8
274	31	20	5
275	91	36	2
276	85	44	14
277	71	15	2
282	23	4	3
283	100	49	11
284	43	22	20
285	93	11	10
287	10	12	9
289	2	52	2
290	36	36	18
293	89	19	9
294	27	20	3
295	91	30	17
296	11	23	6
298	99	41	13
302	44	21	14
305	53	36	18
306	22	45	8
307	67	23	15
308	17	45	1
311	83	11	9
312	10	39	5
313	48	29	1
314	87	32	9
316	59	45	13
318	101	32	11
319	64	36	14
322	63	19	13
324	31	38	11
325	15	8	8
328	25	24	18
329	25	40	8
330	37	11	5
331	85	31	2
332	4	37	2
338	32	39	2
339	53	55	3
346	30	31	6
347	26	32	18
349	56	24	18
352	41	42	4
354	43	30	14
355	94	43	10
358	14	30	5
359	75	31	10
361	57	35	18
362	40	20	17
363	63	43	16
364	51	43	16
365	30	43	1
366	11	50	6
370	104	51	6
371	61	20	1
372	116	24	4
373	37	44	4
376	97	48	11
377	80	52	2
378	39	39	9
379	67	45	13
380	97	39	19
381	23	48	1
382	28	33	19
386	113	17	1
389	57	44	16
390	76	24	15
392	55	26	6
393	21	44	15
